epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.7147,2.16624,3.28514,0.00395,0.02958,0.14286,0.05178,0.01192,1.54263,3.29818,0.00275,0.00038,0.00038,0.00038
2,47.7889,1.78062,2.20303,0.00322,0.1475,0.71227,0.44136,0.15312,1.52525,2.77069,0.00279,0.000776139,0.000776139,0.000776139
3,59.8788,1.70046,1.8267,0.00302,0.17542,0.84708,0.48796,0.23439,1.45959,2.48943,0.00263,0.00116832,0.00116832,0.00116832
4,71.7981,1.68369,1.65762,0.00268,0.67705,0.48509,0.6104,0.26004,1.63637,2.12734,0.00295,0.00155654,0.00155654,0.00155654
5,83.691,1.6255,1.50781,0.00278,0.71112,0.69618,0.72941,0.36003,1.58004,1.6576,0.00277,0.0019408,0.0019408,0.0019408
6,96.0089,1.63137,1.42005,0.00275,0.76413,0.71701,0.78612,0.37616,1.66084,1.46088,0.00298,0.0019505,0.0019505,0.0019505
7,108.211,1.65032,1.35813,0.00271,0.77105,0.74539,0.80763,0.41355,1.55388,1.30209,0.00286,0.0019406,0.0019406,0.0019406
8,120.204,1.59848,1.44755,0.00294,0.7776,0.77386,0.82138,0.42117,1.57687,1.24022,0.00284,0.0019307,0.0019307,0.0019307
9,132.376,1.61779,1.3978,0.00304,0.76481,0.75243,0.8022,0.40287,1.60107,1.22934,0.00295,0.0019208,0.0019208,0.0019208
10,144.324,1.60703,1.237,0.00278,0.74554,0.81288,0.83112,0.44077,1.53739,1.08586,0.00276,0.0019109,0.0019109,0.0019109
11,156.465,1.64636,1.19342,0.00257,0.81663,0.7666,0.84967,0.48233,1.48009,0.94574,0.00269,0.001901,0.001901,0.001901
12,168.15,1.6437,1.15381,0.00259,0.76118,0.79477,0.81567,0.41346,1.58804,1.09013,0.00287,0.0018911,0.0018911,0.0018911
13,180.339,1.59828,1.15512,0.00278,0.79082,0.80634,0.84193,0.45737,1.54709,0.95178,0.00284,0.0018812,0.0018812,0.0018812
14,192.582,1.57059,1.13891,0.00283,0.75819,0.84105,0.86513,0.45763,1.53621,0.95473,0.00278,0.0018713,0.0018713,0.0018713
15,204.471,1.53485,1.09961,0.00271,0.82182,0.7827,0.86766,0.47837,1.51367,0.92801,0.00279,0.0018614,0.0018614,0.0018614
16,216.044,1.59634,1.05264,0.00258,0.79503,0.79604,0.84832,0.45948,1.53227,0.88171,0.0028,0.0018515,0.0018515,0.0018515
17,227.682,1.61941,1.07861,0.00278,0.77018,0.82936,0.87135,0.48088,1.53393,0.81461,0.00278,0.0018416,0.0018416,0.0018416
18,240.034,1.61816,1.01481,0.00251,0.77684,0.833,0.87064,0.47999,1.54898,0.80272,0.00282,0.0018317,0.0018317,0.0018317
19,251.709,1.63352,1.01806,0.00278,0.7808,0.80885,0.85196,0.4653,1.56445,0.86,0.00292,0.0018218,0.0018218,0.0018218
20,264.039,1.57794,0.99438,0.00252,0.83095,0.81288,0.88236,0.46473,1.58428,0.80576,0.00289,0.0018119,0.0018119,0.0018119
21,275.518,1.54309,0.93508,0.00262,0.85595,0.81299,0.89381,0.49385,1.56033,0.74869,0.00288,0.001802,0.001802,0.001802
22,286.294,1.56754,0.97058,0.00276,0.84932,0.80523,0.88257,0.47192,1.60136,0.80236,0.00292,0.0017921,0.0017921,0.0017921
23,297.944,1.58401,0.93125,0.00272,0.8183,0.84274,0.8862,0.48018,1.57468,0.77894,0.00284,0.0017822,0.0017822,0.0017822
24,309.555,1.55114,0.87193,0.0027,0.83637,0.82277,0.87814,0.45837,1.60048,0.82752,0.00291,0.0017723,0.0017723,0.0017723
25,321.173,1.58763,0.8989,0.00273,0.82921,0.83903,0.89054,0.50585,1.57013,0.74199,0.00288,0.0017624,0.0017624,0.0017624
26,333.436,1.63308,0.85525,0.00252,0.85614,0.833,0.90101,0.48552,1.62839,0.74353,0.00299,0.0017525,0.0017525,0.0017525
