epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.119,2.04071,1.67052,1.35711,0.60157,0.71831,0.65881,0.27211,1.91277,1.38908,1.26343,0.00065,0.00065,0.00065
2,41.4928,1.6726,1.00588,1.17857,0.6888,0.40845,0.45781,0.15883,2.23134,1.39205,1.38103,0.00131015,0.00131015,0.00131015
3,59.9863,1.81216,1.12124,1.17509,0.02439,0.00805,0.003,0.00125,3.73056,6.37186,9.82323,0.0019637,0.0019637,0.0019637
4,78.284,1.69832,1.02026,1.15808,0.76289,0.7666,0.79903,0.37784,1.72839,0.98728,1.14253,0.0019703,0.0019703,0.0019703
5,96.6214,1.66157,0.93543,1.14744,0.86671,0.89738,0.91391,0.48374,1.61305,0.79275,1.12291,0.0019604,0.0019604,0.0019604
6,115.17,1.64409,0.89835,1.12622,0.83174,0.85714,0.87663,0.38874,1.77343,0.88176,1.17433,0.0019505,0.0019505,0.0019505
7,133.303,1.62165,0.88614,1.131,0.8925,0.83501,0.91381,0.48929,1.57963,0.81013,1.10673,0.0019406,0.0019406,0.0019406
8,151.665,1.62838,0.89761,1.12666,0.55344,0.57948,0.50506,0.19146,2.17844,1.55759,1.28627,0.0019307,0.0019307,0.0019307
9,169.96,1.59513,0.85037,1.12587,0.87578,0.89366,0.93581,0.51253,1.52029,0.7486,1.0874,0.0019208,0.0019208,0.0019208
10,188.559,1.57348,0.83021,1.07466,0.8653,0.89186,0.91123,0.44915,1.69278,0.78643,1.13544,0.0019109,0.0019109,0.0019109
11,206.845,1.55289,0.82768,1.10285,0.91579,0.87523,0.93502,0.50645,1.53311,0.71161,1.09285,0.001901,0.001901,0.001901
12,225.155,1.57052,0.84115,1.10335,0.93032,0.83903,0.93073,0.47942,1.61608,0.73199,1.12095,0.0018911,0.0018911,0.0018911
13,243.502,1.57908,0.79185,1.10361,0.92081,0.88907,0.94659,0.49167,1.60805,0.71564,1.12682,0.0018812,0.0018812,0.0018812
14,261.613,1.5736,0.78855,1.12251,0.8978,0.86613,0.92802,0.51279,1.49858,0.71708,1.07501,0.0018713,0.0018713,0.0018713
15,279.666,1.535,0.78673,1.11009,0.85266,0.88495,0.9138,0.46351,1.66107,0.73008,1.14494,0.0018614,0.0018614,0.0018614
16,298.049,1.58771,0.794,1.1147,0.85281,0.87437,0.91632,0.44847,1.673,0.75939,1.13431,0.0018515,0.0018515,0.0018515
17,316.3,1.51829,0.74452,1.08545,0.88691,0.89135,0.94385,0.48575,1.60008,0.67759,1.12312,0.0018416,0.0018416,0.0018416
