epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.8609,2.16552,3.03423,1.37913,0.0575,0.27767,0.19043,0.06077,1.70254,3.22252,1.10147,0.00038,0.00038,0.00038
2,39.9582,1.84181,1.73583,1.11797,0.04333,0.20926,0.15428,0.07824,2.32812,2.83816,1.28354,0.000776139,0.000776139,0.000776139
3,48.8459,1.76565,1.29049,1.10852,0.15083,0.72837,0.47558,0.15965,2.05374,2.37712,1.23744,0.00116832,0.00116832,0.00116832
4,57.4281,1.68596,1.14112,1.09397,0.06458,0.31187,0.05612,0.01328,3.42231,2.55288,1.93816,0.00155654,0.00155654,0.00155654
5,66.2239,1.66111,1.04634,1.10248,0.69879,0.66197,0.65226,0.1944,2.27953,1.56342,1.31767,0.0019408,0.0019408,0.0019408
6,75.145,1.65812,1.03851,1.09505,0.81017,0.79862,0.79765,0.26138,2.16434,1.25416,1.29706,0.0019505,0.0019505,0.0019505
7,84.0516,1.65185,0.98495,1.10337,0.87497,0.83702,0.90012,0.42235,1.69027,1.04873,1.09867,0.0019406,0.0019406,0.0019406
8,92.8187,1.64404,1.07107,1.11492,0.72972,0.73441,0.69787,0.19981,2.3023,1.32402,1.34739,0.0019307,0.0019307,0.0019307
9,101.471,1.62202,1.07787,1.11844,0.85807,0.86369,0.87704,0.3871,1.71936,1.03066,1.11551,0.0019208,0.0019208,0.0019208
10,110.142,1.60187,0.96647,1.08252,0.86064,0.83903,0.87242,0.35481,1.9454,0.98834,1.17248,0.0019109,0.0019109,0.0019109
11,119.002,1.66482,0.95929,1.0862,0.86903,0.82495,0.90152,0.40377,1.74727,0.92003,1.12809,0.001901,0.001901,0.001901
12,127.574,1.60512,0.94074,1.06554,0.86258,0.82091,0.85798,0.3809,1.79705,1.00168,1.1181,0.0018911,0.0018911,0.0018911
13,136.377,1.57359,0.94255,1.09796,0.87294,0.86922,0.92144,0.46935,1.53778,0.86417,1.06095,0.0018812,0.0018812,0.0018812
14,145.342,1.53779,0.89753,1.07662,0.8616,0.85915,0.898,0.45108,1.59889,0.82903,1.07251,0.0018713,0.0018713,0.0018713
15,153.719,1.53978,0.86574,1.08451,0.86386,0.82989,0.9032,0.4168,1.7159,0.91452,1.11973,0.0018614,0.0018614,0.0018614
16,162.27,1.5612,0.86291,1.05951,0.83742,0.87726,0.90178,0.40425,1.7455,0.85446,1.12501,0.0018515,0.0018515,0.0018515
17,170.96,1.58589,0.89148,1.09435,0.88848,0.84961,0.91265,0.46146,1.56638,0.83137,1.06281,0.0018416,0.0018416,0.0018416
18,179.795,1.56529,0.85718,1.04852,0.88762,0.89,0.93531,0.51117,1.53266,0.76376,1.05907,0.0018317,0.0018317,0.0018317
19,188.18,1.56004,0.85117,1.08086,0.87391,0.85066,0.9257,0.45553,1.68042,0.82025,1.10804,0.0018218,0.0018218,0.0018218
20,197.145,1.56281,0.88722,1.06637,0.81176,0.85513,0.86804,0.37102,1.80665,0.93397,1.14234,0.0018119,0.0018119,0.0018119
21,205.734,1.52344,0.85922,1.06436,0.87595,0.8525,0.91654,0.45241,1.57616,0.78388,1.0693,0.001802,0.001802,0.001802
22,213.729,1.48949,0.84447,1.06695,0.88194,0.91686,0.94049,0.5279,1.4672,0.71851,1.04413,0.0017921,0.0017921,0.0017921
23,222.677,1.51718,0.8124,1.06908,0.89929,0.89135,0.92899,0.4868,1.53922,0.72696,1.05444,0.0017822,0.0017822,0.0017822
24,231.639,1.55824,0.82568,1.08093,0.84323,0.79074,0.84251,0.31816,2.00928,0.94391,1.21383,0.0017723,0.0017723,0.0017723
25,240.231,1.53449,0.82714,1.07038,0.89094,0.91751,0.95085,0.51814,1.48391,0.74522,1.0538,0.0017624,0.0017624,0.0017624
26,249.115,1.51049,0.78674,1.04863,0.86726,0.89394,0.92377,0.43591,1.63411,0.79811,1.09058,0.0017525,0.0017525,0.0017525
27,257.206,1.51871,0.8058,1.0781,0.86547,0.85714,0.90275,0.48443,1.59311,0.76482,1.07791,0.0017426,0.0017426,0.0017426
28,266.223,1.54394,0.81444,1.08739,0.82014,0.78873,0.82963,0.29606,2.09817,0.946,1.22044,0.0017327,0.0017327,0.0017327
29,274.28,1.53715,0.81249,1.08165,0.82863,0.8756,0.90082,0.39167,1.82305,0.89394,1.17016,0.0017228,0.0017228,0.0017228
30,283.43,1.47565,0.76381,1.03851,0.85998,0.8898,0.91728,0.46244,1.58556,0.72871,1.07527,0.0017129,0.0017129,0.0017129
31,292.006,1.45288,0.76514,1.05275,0.89206,0.89793,0.94214,0.51593,1.49601,0.70307,1.04517,0.001703,0.001703,0.001703
32,300.81,1.50324,0.7583,1.04778,0.89697,0.82328,0.92137,0.48271,1.57768,0.78761,1.0623,0.0016931,0.0016931,0.0016931
33,309.455,1.45243,0.75094,1.05352,0.90646,0.8833,0.93787,0.49848,1.53658,0.70351,1.04929,0.0016832,0.0016832,0.0016832
34,318.274,1.49904,0.74315,1.04415,0.90196,0.87123,0.92736,0.47344,1.62042,0.71591,1.08598,0.0016733,0.0016733,0.0016733
35,326.875,1.48172,0.75157,1.06346,0.85735,0.89485,0.92882,0.5081,1.53589,0.69354,1.06945,0.0016634,0.0016634,0.0016634
36,335.557,1.45103,0.74153,1.03752,0.89298,0.88732,0.93787,0.50024,1.57005,0.68887,1.07429,0.0016535,0.0016535,0.0016535
37,343.912,1.49261,0.74054,1.05808,0.88618,0.88129,0.93418,0.482,1.59236,0.71775,1.08621,0.0016436,0.0016436,0.0016436
38,352.838,1.45104,0.73706,1.04615,0.88063,0.88531,0.93523,0.46887,1.69694,0.71514,1.10727,0.0016337,0.0016337,0.0016337
39,361.338,1.51578,0.74633,1.05583,0.8914,0.89181,0.93558,0.47129,1.65721,0.71278,1.10939,0.0016238,0.0016238,0.0016238
40,369.999,1.48915,0.71922,1.05488,0.87569,0.8994,0.94494,0.49714,1.56391,0.683,1.08603,0.0016139,0.0016139,0.0016139
41,378.555,1.42329,0.71997,1.06462,0.90499,0.90082,0.95326,0.53488,1.48062,0.66161,1.04398,0.001604,0.001604,0.001604
42,387.337,1.45998,0.70704,1.04167,0.8982,0.89537,0.94483,0.51586,1.50518,0.67152,1.0578,0.0015941,0.0015941,0.0015941
43,396.008,1.45803,0.71296,1.0543,0.87305,0.89942,0.92783,0.51055,1.5261,0.67383,1.07376,0.0015842,0.0015842,0.0015842
44,404.522,1.46376,0.70333,1.05681,0.90747,0.86828,0.94038,0.51558,1.50185,0.65196,1.07017,0.0015743,0.0015743,0.0015743
45,413.558,1.45844,0.7032,1.04003,0.88516,0.89949,0.94423,0.51897,1.50828,0.67491,1.0553,0.0015644,0.0015644,0.0015644
46,422.263,1.46835,0.70962,1.03898,0.88692,0.88129,0.9247,0.45771,1.69194,0.70158,1.11675,0.0015545,0.0015545,0.0015545
47,431.025,1.47455,0.71072,1.04125,0.87148,0.88682,0.92866,0.44513,1.74701,0.73429,1.13451,0.0015446,0.0015446,0.0015446
48,439.749,1.48322,0.71788,1.04881,0.89697,0.83501,0.91739,0.43012,1.7493,0.75296,1.14872,0.0015347,0.0015347,0.0015347
49,448.444,1.45221,0.70696,1.03325,0.90679,0.88087,0.9409,0.53964,1.44637,0.65017,1.03917,0.0015248,0.0015248,0.0015248
50,457.276,1.43403,0.69858,1.04824,0.89643,0.90554,0.95658,0.53134,1.4966,0.64533,1.05656,0.0015149,0.0015149,0.0015149
51,465.918,1.44183,0.69226,1.03518,0.90321,0.90342,0.94173,0.52934,1.50035,0.63853,1.05907,0.001505,0.001505,0.001505
52,474.719,1.43765,0.68336,1.03574,0.92694,0.89353,0.95791,0.51161,1.55539,0.66828,1.07029,0.0014951,0.0014951,0.0014951
53,483.784,1.44213,0.6782,1.02709,0.89285,0.92153,0.96066,0.5235,1.51903,0.64687,1.06161,0.0014852,0.0014852,0.0014852
54,492.587,1.43612,0.70565,1.05497,0.91932,0.88934,0.95359,0.50065,1.57811,0.67363,1.08942,0.0014753,0.0014753,0.0014753
55,501.367,1.44882,0.68451,1.03774,0.89048,0.89978,0.944,0.50362,1.58841,0.65896,1.09661,0.0014654,0.0014654,0.0014654
56,510.316,1.44816,0.68888,1.02782,0.91174,0.89378,0.94329,0.5285,1.48644,0.64174,1.04739,0.0014555,0.0014555,0.0014555
57,519.066,1.43436,0.68108,1.03282,0.89631,0.88705,0.93646,0.49237,1.5916,0.66551,1.08373,0.0014456,0.0014456,0.0014456
58,527.882,1.43997,0.68857,1.04264,0.90947,0.88935,0.95407,0.53208,1.49655,0.64069,1.04858,0.0014357,0.0014357,0.0014357
59,536.66,1.42231,0.68646,1.02282,0.91969,0.89858,0.95786,0.53492,1.50817,0.63388,1.05972,0.0014258,0.0014258,0.0014258
60,545.363,1.43327,0.67461,1.04322,0.89116,0.91751,0.95714,0.55123,1.46191,0.62475,1.04693,0.0014159,0.0014159,0.0014159
61,554.217,1.44405,0.68982,1.03827,0.88597,0.90342,0.94742,0.50559,1.56701,0.64285,1.08711,0.001406,0.001406,0.001406
62,563.091,1.43142,0.68297,1.04504,0.89167,0.89738,0.94188,0.53197,1.46628,0.6287,1.05221,0.0013961,0.0013961,0.0013961
63,571.285,1.48069,0.70174,1.05636,0.88355,0.91952,0.955,0.54007,1.48128,0.63545,1.04325,0.0013862,0.0013862,0.0013862
64,580.089,1.41424,0.67595,1.03949,0.89444,0.92066,0.95605,0.51762,1.55231,0.63567,1.0679,0.0013763,0.0013763,0.0013763
65,588.067,1.41165,0.67056,1.03551,0.90088,0.8994,0.95179,0.53031,1.47929,0.62759,1.04871,0.0013664,0.0013664,0.0013664
66,597.049,1.40055,0.6737,1.04288,0.88643,0.9109,0.94837,0.53876,1.46445,0.62577,1.04524,0.0013565,0.0013565,0.0013565
67,605.894,1.4444,0.65608,1.02756,0.89336,0.91019,0.95575,0.54668,1.46291,0.62884,1.04166,0.0013466,0.0013466,0.0013466
68,614.558,1.4248,0.65615,1.04028,0.92232,0.83501,0.9332,0.51484,1.49954,0.65282,1.06194,0.0013367,0.0013367,0.0013367
69,623.323,1.43239,0.66823,1.02758,0.89819,0.89135,0.94053,0.50917,1.54239,0.65872,1.07912,0.0013268,0.0013268,0.0013268
70,632.045,1.40991,0.66881,1.02286,0.89428,0.90208,0.95165,0.5364,1.49683,0.62378,1.05675,0.0013169,0.0013169,0.0013169
71,640.863,1.42541,0.66067,1.01858,0.88409,0.92084,0.94925,0.53486,1.48135,0.62518,1.05817,0.001307,0.001307,0.001307
72,649.655,1.41434,0.66378,1.02855,0.91158,0.89203,0.95053,0.54329,1.45835,0.61667,1.03743,0.0012971,0.0012971,0.0012971
73,658.477,1.38347,0.65368,1.0285,0.88629,0.90962,0.95008,0.53072,1.49289,0.61614,1.05629,0.0012872,0.0012872,0.0012872
74,667.185,1.40162,0.65302,1.04022,0.88316,0.91253,0.94418,0.515,1.53564,0.62653,1.06848,0.0012773,0.0012773,0.0012773
75,675.894,1.40312,0.63778,1.01417,0.90458,0.90543,0.94999,0.54655,1.44954,0.61766,1.04389,0.0012674,0.0012674,0.0012674
76,684.54,1.42017,0.6635,1.04697,0.90667,0.89915,0.95266,0.52483,1.54571,0.6333,1.0729,0.0012575,0.0012575,0.0012575
77,693.435,1.38036,0.63678,1.02521,0.88885,0.91147,0.94957,0.54286,1.46575,0.60634,1.05463,0.0012476,0.0012476,0.0012476
78,702.151,1.42324,0.64896,1.03541,0.91698,0.90543,0.95837,0.54729,1.44764,0.60704,1.04953,0.0012377,0.0012377,0.0012377
79,711.256,1.40084,0.6461,1.02506,0.9188,0.88786,0.94873,0.52098,1.51553,0.63127,1.06115,0.0012278,0.0012278,0.0012278
80,720.092,1.41067,0.65551,1.01916,0.88531,0.90086,0.94554,0.54894,1.44647,0.61023,1.0439,0.0012179,0.0012179,0.0012179
81,728.804,1.39922,0.65078,1.04716,0.90089,0.89135,0.94453,0.50509,1.54696,0.62981,1.08109,0.001208,0.001208,0.001208
82,737.748,1.40442,0.65796,1.02045,0.87065,0.90141,0.94093,0.48376,1.62,0.66545,1.10355,0.0011981,0.0011981,0.0011981
83,746.425,1.42,0.65788,1.03559,0.92746,0.87472,0.94779,0.53083,1.48576,0.626,1.05404,0.0011882,0.0011882,0.0011882
84,754.977,1.37627,0.64506,1.03567,0.90557,0.89135,0.9474,0.54701,1.47096,0.61004,1.05016,0.0011783,0.0011783,0.0011783
85,763.896,1.4122,0.64581,1.03179,0.90271,0.90543,0.94705,0.5436,1.46427,0.61663,1.0432,0.0011684,0.0011684,0.0011684
86,773.016,1.41501,0.65156,1.02389,0.89745,0.8994,0.94504,0.54809,1.45143,0.61178,1.0507,0.0011585,0.0011585,0.0011585
87,781.818,1.38444,0.6393,1.02042,0.89901,0.89135,0.93751,0.53292,1.44268,0.61176,1.03714,0.0011486,0.0011486,0.0011486
88,790.884,1.43041,0.64599,1.02662,0.89823,0.8994,0.95282,0.52859,1.52943,0.62306,1.06926,0.0011387,0.0011387,0.0011387
89,799.54,1.40495,0.64372,1.04054,0.87337,0.91751,0.94719,0.52299,1.51502,0.62337,1.06569,0.0011288,0.0011288,0.0011288
90,808.606,1.40115,0.62909,1.03841,0.9221,0.88122,0.95261,0.53338,1.5047,0.60953,1.06528,0.0011189,0.0011189,0.0011189
91,817.355,1.39426,0.64395,1.0302,0.92167,0.87595,0.9487,0.53886,1.49273,0.61827,1.06643,0.001109,0.001109,0.001109
92,826.206,1.40822,0.64091,1.02537,0.91184,0.89487,0.95371,0.51289,1.57324,0.61766,1.07547,0.0010991,0.0010991,0.0010991
93,834.934,1.41692,0.64051,1.02933,0.87423,0.93964,0.95695,0.52031,1.51078,0.61163,1.06332,0.0010892,0.0010892,0.0010892
94,843.518,1.3973,0.63686,1.02147,0.89334,0.94375,0.95914,0.54232,1.46143,0.60026,1.04891,0.0010793,0.0010793,0.0010793
95,852.224,1.36577,0.63597,1.02654,0.89601,0.93561,0.9572,0.53345,1.48869,0.598,1.05816,0.0010694,0.0010694,0.0010694
96,861.018,1.36353,0.6177,1.02113,0.91749,0.9173,0.96163,0.52943,1.51838,0.60488,1.06432,0.0010595,0.0010595,0.0010595
97,869.958,1.42385,0.63817,1.01842,0.90859,0.92153,0.96369,0.54365,1.50587,0.60114,1.0637,0.0010496,0.0010496,0.0010496
98,878.796,1.39617,0.63414,1.02039,0.88666,0.94165,0.95982,0.54559,1.47416,0.59204,1.04879,0.0010397,0.0010397,0.0010397
99,887.711,1.35899,0.62303,1.00917,0.8821,0.93331,0.95572,0.53859,1.48724,0.60065,1.05306,0.0010298,0.0010298,0.0010298
100,896.473,1.41144,0.62652,1.03517,0.88711,0.91147,0.94449,0.54064,1.48786,0.60803,1.06034,0.0010199,0.0010199,0.0010199
101,905.174,1.3891,0.6246,1.02028,0.89658,0.90703,0.9532,0.52445,1.54372,0.60966,1.07534,0.00101,0.00101,0.00101
102,914.015,1.37992,0.6241,1.00671,0.92256,0.8833,0.95666,0.54619,1.48146,0.59543,1.05169,0.0010001,0.0010001,0.0010001
103,922.987,1.35309,0.61354,1.01247,0.89415,0.91778,0.95183,0.51259,1.56431,0.62155,1.0895,0.0009902,0.0009902,0.0009902
104,931.453,1.39876,0.62659,1.03407,0.88575,0.92035,0.95797,0.51681,1.58741,0.63041,1.0924,0.0009803,0.0009803,0.0009803
105,940.406,1.40145,0.62676,1.01369,0.89732,0.90543,0.9503,0.54016,1.47401,0.59897,1.05777,0.0009704,0.0009704,0.0009704
106,949.025,1.37817,0.63141,1.01588,0.87191,0.8994,0.94033,0.52505,1.51529,0.61808,1.0729,0.0009605,0.0009605,0.0009605
